"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"Vaccination-new","","","",1,1,"","","","","Vaccination","Vaccination","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"Vaccination-new.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Vaccination-new.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Vaccination-new.recordedDate","","","",0,1,"","","","dateTime {[]} {[]}
","Recorded Date","When the immunization was first captured in the subject's record","","","","","","","","","",,,,,"",,,,"Vaccination-new.recordedDate",0,1,"",""
"Vaccination-new.source","","","",0,*,"","","","BackboneElement {[]} {[]}
","Immunization Reporting Source","Source of information regarding the reported immunization event.","","","","","","","","","",,,,,"",,,,"Vaccination-new.source",0,*,"",""
"Vaccination-new.given","","","",0,*,"","","","boolean {[]} {[]}
","Immunization Administration Status","Provides the status of the immunization event, i.e., was the vaccine dose administered?","","","","","","","","","",,,,,"",,,,"Vaccination-new.given",0,*,"",""
"Vaccination-new.reasonNotGiven","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason not done","Indicates the reason the immunization event was not performed.","","","","","","","","","",,,,,"",,,,"Vaccination-new.reasonNotGiven",0,*,"",""
"Vaccination-new.indication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Why immunization occurred","Indicates the reason the immunization event was performed.","","","","","","","","","",,,,,"",,,,"Vaccination-new.indication",0,*,"",""
"Vaccination-new.targetDisease","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Vaccine Preventable Disease","The disease that the vaccination provides protection against.","","","","","","","","","",,,,,"",,,,"Vaccination-new.targetDisease",0,*,"",""
"Vaccination-new.vaccineType","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Vaccine type (prophylaxis, generic immunizing Agent)","Generic representation of the formulation administered to a subject that includes one or more specific antigen(s) aimed at developing an immune response in an individual to provide protection from a vaccine preventable disease(s). E.g. Generic description of the vaccine/Vaccine component(s) Example: J07BX03 covid-19 vaccines (temporary code, to be implemented in ATC 2022) 1119349007 | COVID-19 mRNA vaccine | 1119305005 | COVID-19 antigen vaccine |","","","","","","","","","",,,,,"",,,,"Vaccination-new.vaccineType",0,*,"",""
"Vaccination-new.subject","","","",0,1,"","","","http://iso.org/fhir/ts-5384/StructureDefinition/Subject {[]} {[]}
","Subject","Person that have or should have been vaccinated","","","","","","","","","",,,,,"",,,,"Vaccination-new.subject",0,1,"",""
"Vaccination-new.product","","","",0,*,"","","","http://iso.org/fhir/ts-5384/StructureDefinition/Product {[]} {[]}
","Administrable Product","A product  that have or should have been administered to a subject that includes one or more specific antigen(s) aimed at developing an immune response in an individual to provide protection from a vaccine preventable disease(s).  ","","","","","","","","","",,,,,"",,,,"Vaccination-new.product",0,*,"",""
